Timestamp: 1683525958, Average of speed: 2150.667, Average of pressure: 0.068
Timestamp: 1683525959, Average of speed: 2104.000, Average of pressure: 0.081
Timestamp: 1683525960, Average of speed: 2048.667, Average of pressure: 0.083
Timestamp: 1683525961, Average of speed: 2191.333, Average of pressure: 0.083
Timestamp: 1683525962, Average of speed: 2069.333, Average of pressure: 0.082
Timestamp: 1683525963, Average of speed: 2109.333, Average of pressure: 0.051
Timestamp: 1683525964, Average of speed: 2155.333, Average of pressure: 0.077
Timestamp: 1683525965, Average of speed: 2148.333, Average of pressure: 0.068
Timestamp: 1683525966, Average of speed: 2100.667, Average of pressure: 0.077
Timestamp: 1683525967, Average of speed: 2096.667, Average of pressure: 0.052
Timestamp: 1683525968, Average of speed: 2145.667, Average of pressure: 0.078
Timestamp: 1683525969, Average of speed: 2155.333, Average of pressure: 0.078
Timestamp: 1683525970, Average of speed: 2220.333, Average of pressure: 0.054
Timestamp: 1683525971, Average of speed: 2074.000, Average of pressure: 0.082
Timestamp: 1683525972, Average of speed: 2092.000, Average of pressure: 0.072
Timestamp: 1683525973, Average of speed: 2181.000, Average of pressure: 0.079
Timestamp: 1683525974, Average of speed: 2077.667, Average of pressure: 0.096
Timestamp: 1683525975, Average of speed: 2278.667, Average of pressure: 0.078
Timestamp: 1683525976, Average of speed: 2041.667, Average of pressure: 0.082
Timestamp: 1683525977, Average of speed: 2199.667, Average of pressure: 0.080
Timestamp: 1683525978, Average of speed: 2217.667, Average of pressure: 0.090
Timestamp: 1683525979, Average of speed: 2075.000, Average of pressure: 0.071
Timestamp: 1683525980, Average of speed: 2063.000, Average of pressure: 0.076
Timestamp: 1683525981, Average of speed: 2009.000, Average of pressure: 0.075
Timestamp: 1683525982, Average of speed: 1950.000, Average of pressure: 0.094
Timestamp: 1683525983, Average of speed: 2120.000, Average of pressure: 0.076
Timestamp: 1683525984, Average of speed: 1998.333, Average of pressure: 0.082
Timestamp: 1683525985, Average of speed: 2144.000, Average of pressure: 0.053
Timestamp: 1683525986, Average of speed: 2117.333, Average of pressure: 0.071
Timestamp: 1683525987, Average of speed: 2196.000, Average of pressure: 0.084
Timestamp: 1683525988, Average of speed: 2176.333, Average of pressure: 0.073
Timestamp: 1683525989, Average of speed: 2155.000, Average of pressure: 0.080
Timestamp: 1683525990, Average of speed: 2015.000, Average of pressure: 0.058
Timestamp: 1683525991, Average of speed: 1908.333, Average of pressure: 0.080
Timestamp: 1683525992, Average of speed: 2070.000, Average of pressure: 0.067
Timestamp: 1683525993, Average of speed: 2199.000, Average of pressure: 0.078
Timestamp: 1683525994, Average of speed: 2072.667, Average of pressure: 0.078
Timestamp: 1683525995, Average of speed: 2001.667, Average of pressure: 0.090
Timestamp: 1683525996, Average of speed: 2090.000, Average of pressure: 0.094
Timestamp: 1683525997, Average of speed: 2141.000, Average of pressure: 0.056
Timestamp: 1683525998, Average of speed: 2040.333, Average of pressure: 0.072
Timestamp: 1683525999, Average of speed: 2139.000, Average of pressure: 0.076
Timestamp: 1683526000, Average of speed: 2057.333, Average of pressure: 0.076
Timestamp: 1683526001, Average of speed: 2057.333, Average of pressure: 0.076
Timestamp: 1683526002, Average of speed: 1912.667, Average of pressure: 0.072
Timestamp: 1683526003, Average of speed: 2201.333, Average of pressure: 0.072
Timestamp: 1683526004, Average of speed: 1904.000, Average of pressure: 0.055
Timestamp: 1683526005, Average of speed: 2302.667, Average of pressure: 0.056
Timestamp: 1683526006, Average of speed: 2163.667, Average of pressure: 0.091
Timestamp: 1683526007, Average of speed: 2090.333, Average of pressure: 0.075
Timestamp: 1683526008, Average of speed: 1976.000, Average of pressure: 0.087
Timestamp: 1683526009, Average of speed: 1898.000, Average of pressure: 0.080
Timestamp: 1683526010, Average of speed: 2087.667, Average of pressure: 0.077
Timestamp: 1683526011, Average of speed: 2087.667, Average of pressure: 0.077
Timestamp: 1683526012, Average of speed: 2133.000, Average of pressure: 0.075
Timestamp: 1683526013, Average of speed: 2136.333, Average of pressure: 0.075
Timestamp: 1683526014, Average of speed: 1986.000, Average of pressure: 0.064
Timestamp: 1683526015, Average of speed: 1986.000, Average of pressure: 0.064
Timestamp: 1683526016, Average of speed: 2116.667, Average of pressure: 0.075
Timestamp: 1683526017, Average of speed: 1952.667, Average of pressure: 0.072
Timestamp: 1683526018, Average of speed: 1934.667, Average of pressure: 0.098
Timestamp: 1683526019, Average of speed: 2012.667, Average of pressure: 0.081
Timestamp: 1683526020, Average of speed: 1962.000, Average of pressure: 0.063
Timestamp: 1683526021, Average of speed: 2141.000, Average of pressure: 0.087
Timestamp: 1683526022, Average of speed: 1857.667, Average of pressure: 0.081
Timestamp: 1683526023, Average of speed: 2334.000, Average of pressure: 0.076
Timestamp: 1683526024, Average of speed: 2101.667, Average of pressure: 0.067
Timestamp: 1683526025, Average of speed: 1920.667, Average of pressure: 0.091
Timestamp: 1683526026, Average of speed: 2079.667, Average of pressure: 0.075
Timestamp: 1683526027, Average of speed: 1875.000, Average of pressure: 0.075
Timestamp: 1683526028, Average of speed: 2245.000, Average of pressure: 0.069
Timestamp: 1683526029, Average of speed: 2053.000, Average of pressure: 0.068
Timestamp: 1683526030, Average of speed: 2129.333, Average of pressure: 0.072
Timestamp: 1683526031, Average of speed: 2040.333, Average of pressure: 0.091
Timestamp: 1683526032, Average of speed: 2001.000, Average of pressure: 0.069
Timestamp: 1683526033, Average of speed: 1945.333, Average of pressure: 0.071
Timestamp: 1683526034, Average of speed: 2153.000, Average of pressure: 0.088
Timestamp: 1683526035, Average of speed: 2203.333, Average of pressure: 0.084
Timestamp: 1683526036, Average of speed: 2254.000, Average of pressure: 0.065
Timestamp: 1683526037, Average of speed: 2094.667, Average of pressure: 0.082
Timestamp: 1683526038, Average of speed: 2169.333, Average of pressure: 0.075
Timestamp: 1683526039, Average of speed: 2270.667, Average of pressure: 0.067
Timestamp: 1683526040, Average of speed: 2052.667, Average of pressure: 0.077
Timestamp: 1683526041, Average of speed: 1991.333, Average of pressure: 0.075
Timestamp: 1683526042, Average of speed: 2189.667, Average of pressure: 0.057
