1683525958, 2259, 2019, 2174, 0.073, 0.062, 14
1683525959, 2125, 1983, 2204, 0.067, 0.095, 13
1683525960, 1944, 1901, 2301, 0.086, 0.079, 24
1683525961, 2382, 2198, 1994, 0.069, 0.098, 22
1683525962, 1817, 2273, 2118, 0.093, 0.07, 24
1683525963, 2145, 2279, 1904, 0.052, 0.05, 24
1683525964, 2264, 2377, 1825, 0.08, 0.074, 18
1683525965, 2192, 2233, 2020, 0.06, 0.076, 19
1683525966, 2048, 2320, 1934, 0.093, 0.061, 24
1683525967, 2001, 2142, 2147, 0.053, 0.052, 21
1683525968, 2139, 2317, 1981, 0.086, 0.07, 12
1683525969, 2149, 2171, 2146, 0.093, 0.062, 17
1683525970, 2292, 2102, 2267, 0.056, 0.052, 15
1683525971, 2120, 1978, 2124, 0.08, 0.084, 22
1683525972, 2128, 1957, 2191, 0.067, 0.078, 24
1683525973, 2178, 2086, 2279, 0.087, 0.072, 20
1683525974, 2128, 2214, 1891, 0.093, 0.099, 21
1683525975, 2381, 2351, 2104, 0.095, 0.061, 14
1683525976, 1987, 2054, 2084, 0.079, 0.084, 15
1683525977, 2359, 2107, 2133, 0.09, 0.07, 16
1683525978, 1983, 2367, 2303, 0.082, 0.098, 12
1683525979, 2183, 1925, 2117, 0.065, 0.078, 14
1683525980, 2212, 1915, 2062, 0.054, 0.098, 20
1683525981, 2021, 1820, 2186, 0.08, 0.07, 13
1683525982, 1817, 2226, 1807, 0.092, 0.095, 23
1683525983, 2303, 2030, 2027, 0.069, 0.084, 24
1683525984, 2172, 1809, 2014, 0.079, 0.085, 19
1683525985, 2200, 2031, 2201, 0.053, 0.053, 13
1683525986, 2058, 2239, 2055, 0.06, 0.081, 20
1683525987, 2145, 2096, 2347, 0.096, 0.073, 20
1683525988, 2349, 2221, 1959, 0.089, 0.058, 17
1683525989, 2000, 2333, 2132, 0.073, 0.087, 15
1683525990, 1835, 2156, 2054, 0.06, 0.055, 14
1683525991, 1805, 1810, 2110, 0.09, 0.071, 13
1683525992, 2118, 2071, 2021, 0.06, 0.073, 14
1683525993, 1929, 2308, 2360, 0.078, 0.078, 13
1683525994, 2347, 2019, 1852, 0.087, 0.068, 23
1683525995, 2101, 1804, 2100, 0.086, 0.093, 16
1683525996, 2226, 2117, 1927, 0.099, 0.089, 12
1683525997, 2396, 1967, 2060, 0.06, 0.051, 18
1683525998, 2027, 2169, 1925, 0.093, 0.05, 16
1683525999, 2042, 2275, 2100, 0.089, 0.062, 22
1683526000, 2038, 2125, 2009, 0.067, 0.086, 12
1683526001, 2391, 1840, 2037, 0.075, 0.078, 23
1683526002, 1842, 1907, 1989, 0.064, 0.079, 12
1683526003, 2320, 2223, 2061, 0.064, 0.08, 19
1683526004, 1861, 1987, 1864, 0.053, 0.057, 13
1683526005, 2302, 2392, 2214, 0.058, 0.055, 14
1683526006, 2367, 2255, 1869, 0.085, 0.098, 18
1683526007, 2026, 2286, 1959, 0.081, 0.069, 18
1683526008, 2108, 1843, 1977, 0.095, 0.08, 18
1683526009, 1829, 1821, 2044, 0.063, 0.097, 16
1683526010, 1918, 1956, 2389, 0.083, 0.071, 23
1683526011, 2296, 1905, 1980, 0.063, 0.054, 19
1683526012, 1817, 2272, 2310, 0.099, 0.05, 13
1683526013, 2267, 2267, 1875, 0.052, 0.098, 24
1683526014, 1901, 2200, 1857, 0.075, 0.053, 18
1683526015, 2078, 2284, 2268, 0.069, 0.088, 22
1683526016, 2392, 2046, 1912, 0.09, 0.06, 24
1683526017, 1994, 1900, 1964, 0.086, 0.058, 18
1683526018, 1872, 1879, 2053, 0.097, 0.098, 13
1683526019, 1919, 1959, 2160, 0.082, 0.08, 22
1683526020, 2224, 1854, 1808, 0.07, 0.056, 12
1683526021, 2034, 2048, 2341, 0.085, 0.09, 20
1683526022, 1838, 1812, 1923, 0.099, 0.063, 23
1683526023, 2390, 2397, 2215, 0.083, 0.07, 13
1683526024, 2002, 1934, 2369, 0.061, 0.073, 19
1683526025, 1822, 1805, 2135, 0.092, 0.09, 15
1683526026, 1997, 2203, 2039, 0.055, 0.095, 19
1683526027, 1897, 1922, 1806, 0.095, 0.054, 18
1683526028, 2293, 2051, 2391, 0.059, 0.079, 23
1683526029, 1851, 2368, 1940, 0.068, 0.069, 20
1683526030, 2100, 2224, 2064, 0.079, 0.065, 17
1683526031, 1826, 2324, 1971, 0.088, 0.095, 18
1683526032, 2059, 1831, 2113, 0.051, 0.087, 20
1683526033, 1995, 1880, 1961, 0.092, 0.05, 13
1683526034, 1927, 2174, 2358, 0.093, 0.083, 12
1683526035, 2261, 2366, 1983, 0.099, 0.07, 19
1683526036, 2229, 2364, 2169, 0.063, 0.068, 20
1683526037, 1990, 2160, 2134, 0.083, 0.08, 18
1683526038, 2214, 1956, 2338, 0.063, 0.086, 17
1683526039, 2365, 2141, 2306, 0.054, 0.079, 14
1683526040, 2017, 2204, 1937, 0.064, 0.09, 12
1683526041, 2045, 2093, 1836, 0.068, 0.083, 18
1683526042, 2116, 2219, 2234, 0.05, 0.064, 15
1683526043, 2371, 1807, 2223, 0.091, 0.055, 19
1683526044, 1903, 2282, 2177, 0.096, 0.093, 14
1683526045, 1980, 2293, 1924, 0.074, 0.058, 19
1683526046, 2127, 2273, 2017, 0.071, 0.072, 24
1683526047, 2173, 1938, 1937, 0.067, 0.063, 14
1683526048, 2273, 1958, 2139, 0.098, 0.056, 24
1683526049, 2132, 1841, 1874, 0.083, 0.09, 23
1683526050, 2229, 1902, 1978, 0.055, 0.056, 13
1683526051, 2213, 1818, 2014, 0.068, 0.059, 21
1683526052, 2148, 1825, 2037, 0.099, 0.061, 18
1683526053, 2015, 1839, 2255, 0.088, 0.097, 17
1683526054, 1946, 1866, 2233, 0.074, 0.078, 21
1683526055, 2306, 2339, 2194, 0.078, 0.083, 20
1683526056, 2225, 2039, 1903, 0.096, 0.054, 17
1683526057, 1873, 2289, 2118, 0.082, 0.073, 12
1683526058, 1807, 2324, 2325, 0.073, 0.06, 18
1683526059, 2053, 2296, 2125, 0.092, 0.072, 22
1683526060, 2177, 2293, 2174, 0.07, 0.055, 16
1683526061, 1991, 2072, 2176, 0.08, 0.062, 15
1683526062, 2323, 2119, 2205, 0.096, 0.053, 17
1683526063, 1924, 2309, 2373, 0.075, 0.05, 22
1683526064, 2107, 2360, 2017, 0.094, 0.079, 12
1683526065, 2139, 2094, 1896, 0.05, 0.089, 14
1683526066, 1984, 2328, 2015, 0.088, 0.077, 21
1683526067, 2212, 1880, 1916, 0.098, 0.09, 12
1683526068, 2001, 2180, 2327, 0.056, 0.054, 24
